timestamp,rnti,e2_node,f1ap,slice_sd,slice_name,cqi,ri,dl_mcs,ul_mcs,pusch_snr_db,pusch_rsrp_db,phr,dl_brate_bps,ul_brate_bps,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,alloc_req_bps,sla_dl_target_bps
1780487856.034,61441,gnbd_001_001_00000213_4,0,3,CRITICAL,9,1,0,3,1.2,-0.2,0,0.0,512424.0,0,0,0,0,,,,350000
1780487856.034,61442,gnbd_001_001_00000213_4,1,1,PERFORMANCE,15,1,28,5,1.7,-0.1,0,73416.0,445328.0,43,0,0,0,,,,300000
1780487856.034,61444,gnbd_001_001_00000213_4,2,3,CRITICAL,15,1,28,1,2.0,-0.1,0,100664.0,796968.0,63,0,0,0,,,,350000
1780487857.039,61449,gnbd_001_001_00000213_1,0,3,CRITICAL,15,1,0,2,0.9,-0.4,0,0.0,622288.0,0,0,0,0,,,,350000
1780487857.039,61451,gnbd_001_001_00000213_1,1,1,PERFORMANCE,15,1,0,2,1.2,-0.4,0,0.0,682264.0,0,0,0,0,,,,300000
1780487857.039,61452,gnbd_001_001_00000213_1,2,2,BUSINESS,15,1,28,2,1.8,0,0,3044768.0,707248.0,149,0,0,0,,,,20000000
1780487857.039,61443,gnbd_001_001_00000213_2,0,3,CRITICAL,15,1,28,0,1.6,-0.1,0,1292152.0,787680.0,91,0,0,0,,,,350000
1780487857.039,61445,gnbd_001_001_00000213_2,1,1,PERFORMANCE,15,1,28,4,1.6,-0.3,0,91520.0,542608.0,45,0,0,0,,,,300000
1780487857.039,61446,gnbd_001_001_00000213_2,2,2,BUSINESS,15,1,28,5,1.7,-0.2,0,96352.0,539920.0,48,0,0,0,,,,20000000
1780487857.039,61447,gnbd_001_001_00000213_3,0,3,CRITICAL,15,1,28,2,1.7,-0.1,0,80680.0,557904.0,49,0,0,0,,,,350000
1780487857.039,61448,gnbd_001_001_00000213_3,1,1,PERFORMANCE,15,1,0,2,1.4,-0.2,0,0.0,562840.0,0,0,0,0,,,,300000
1780487857.039,61450,gnbd_001_001_00000213_3,2,2,BUSINESS,15,1,28,3,1.1,-0.1,0,94272.0,525000.0,44,0,0,0,,,,20000000
1780487857.039,61441,gnbd_001_001_00000213_4,0,3,CRITICAL,9,1,0,3,1.2,-0.2,0,0.0,512424.0,0,0,0,0,,,,350000
1780487857.039,61442,gnbd_001_001_00000213_4,1,1,PERFORMANCE,15,1,28,5,1.7,-0.1,0,73416.0,445328.0,43,0,0,0,,,,300000
1780487857.039,61444,gnbd_001_001_00000213_4,2,3,CRITICAL,15,1,28,1,2.0,-0.1,0,100664.0,796968.0,63,0,0,0,,,,350000
1780487858.045,61449,gnbd_001_001_00000213_1,0,3,CRITICAL,15,1,0,3,1.1,-0.5,0,0.0,582968.0,0,0,0,0,,,,350000
1780487858.045,61451,gnbd_001_001_00000213_1,1,1,PERFORMANCE,15,1,0,2,0.8,-0.4,0,0.0,649064.0,0,0,0,0,,,,300000
1780487858.045,61452,gnbd_001_001_00000213_1,2,2,BUSINESS,11,1,28,3,2.1,0,0,3515456.0,626488.0,165,0,0,0,,,,20000000
1780487858.045,61443,gnbd_001_001_00000213_2,0,3,CRITICAL,15,1,28,0,1.6,-0.1,0,1292152.0,787680.0,91,0,0,0,,,,350000
1780487858.045,61445,gnbd_001_001_00000213_2,1,1,PERFORMANCE,15,1,28,4,1.6,-0.3,0,91520.0,542608.0,45,0,0,0,,,,300000
1780487858.045,61446,gnbd_001_001_00000213_2,2,2,BUSINESS,15,1,28,5,1.7,-0.2,0,96352.0,539920.0,48,0,0,0,,,,20000000
1780487858.045,61447,gnbd_001_001_00000213_3,0,3,CRITICAL,15,1,28,3,1.6,-0.1,0,117048.0,526424.0,62,0,0,0,,,,350000
1780487858.045,61448,gnbd_001_001_00000213_3,1,1,PERFORMANCE,15,1,0,3,1.1,-0.3,0,0.0,482024.0,0,0,0,0,,,,300000
1780487858.045,61450,gnbd_001_001_00000213_3,2,2,BUSINESS,15,1,28,3,1.4,-0.2,0,556336.0,486264.0,57,0,0,0,,,,20000000
1780487858.045,61441,gnbd_001_001_00000213_4,0,3,CRITICAL,9,1,0,3,1.2,-0.2,0,0.0,512424.0,0,0,0,0,,,,350000
1780487858.045,61442,gnbd_001_001_00000213_4,1,1,PERFORMANCE,15,1,28,5,1.7,-0.1,0,73416.0,445328.0,43,0,0,0,,,,300000
1780487858.045,61444,gnbd_001_001_00000213_4,2,3,CRITICAL,15,1,28,1,2.0,-0.1,0,100664.0,796968.0,63,0,0,0,,,,350000
1780487859.056,61449,gnbd_001_001_00000213_1,0,3,CRITICAL,15,1,0,3,1.1,-0.5,0,0.0,582968.0,0,0,0,0,,,,350000
1780487859.056,61451,gnbd_001_001_00000213_1,1,1,PERFORMANCE,15,1,0,2,0.8,-0.4,0,0.0,649064.0,0,0,0,0,,,,300000
1780487859.056,61452,gnbd_001_001_00000213_1,2,2,BUSINESS,11,1,28,3,2.1,0,0,3515456.0,626488.0,165,0,0,0,,,,20000000
1780487859.056,61443,gnbd_001_001_00000213_2,0,3,CRITICAL,15,1,28,1,1.8,-0.1,0,77552.0,787328.0,49,0,0,0,,,,350000
