timestamp,rnti,cqi,ri,dl_mcs,ul_mcs,dl_brate_bps,ul_brate_bps,pusch_snr_db,pusch_rsrp_db,phr,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,slice_name,f1ap_id
1779804773.689,17924,12,1,20,9,526240.0,3479448.0,15.6,-34.0,0,171,2,0,0,2,48,PERFORMANCE,1
1779804773.689,17926,5,1,15,19,650136.0,88024.0,21.5,-27.4,0,100,1,0,0,0,17,BUSINESS,2
1779804774.689,17922,9,1,17,27,128584.0,243200.0,30.6,-12.3,0,101,1,0,0,2,34,CRITICAL,0
1779804774.689,17924,13,1,20,8,524087.99999999994,3462648.0,15.8,-33.9,0,168,3,0,0,2,48,PERFORMANCE,1
1779804774.689,17926,5,1,14,17,586368.0,40248.0,20.0,-29.4,0,91,0,0,0,0,17,BUSINESS,2
1779804775.69,17922,9,1,17,27,128407.99999999999,243200.0,30.0,-12.4,0,101,1,0,0,2,34,CRITICAL,0
1779804775.69,17924,13,1,20,9,515168.0,3464184.0,15.6,-33.8,0,162,2,0,0,2,48,PERFORMANCE,1
1779804775.69,17926,5,1,15,18,3675656.0,175864.0,21.0,-27.9,0,517,0,0,0,0,17,BUSINESS,2
1779804776.689,17922,9,1,17,27,127776.0,243200.0,30.0,-12.2,0,100,1,0,0,2,34,CRITICAL,0
1779804776.689,17924,13,1,20,6,476688.0,3051976.0,12.9,-36.5,0,157,3,0,0,2,48,PERFORMANCE,1
1779804776.689,17926,5,1,15,23,5957864.0,328248.0,24.1,-25.4,0,833,0,0,0,0,17,BUSINESS,2
1779804777.689,17922,8,1,16,27,127184.0,243200.0,31.8,-11.5,0,100,2,0,0,2,34,CRITICAL,0
1779804777.689,17924,13,1,20,4,405472.0,2335040.0,10.3,-38.9,0,142,1,0,0,2,48,PERFORMANCE,1
1779804777.689,17926,5,1,15,27,4747848.0,448480.0,28.5,-20.8,0,682,0,0,0,0,17,BUSINESS,2
1779804778.689,17922,8,1,16,27,127720.0,243200.0,32.8,-11.0,0,101,0,0,0,2,34,CRITICAL,0
1779804778.689,17924,13,1,21,3,377440.0,2074536.0,10.3,-38.5,0,131,0,0,0,2,48,PERFORMANCE,1
1779804778.689,17926,5,1,15,27,4861888.0,534568.0,30.3,-17.9,0,701,0,0,0,0,17,BUSINESS,2
1779804779.689,17922,8,1,16,27,125792.0,243200.0,33.1,-11.0,0,100,3,0,0,2,34,CRITICAL,0
1779804779.689,17924,13,1,21,3,330336.0,1820056.0,10.1,-38.7,0,122,1,0,0,2,48,PERFORMANCE,1
1779804779.689,17926,5,1,15,27,3403784.0,184448.0,30.4,-18.7,0,511,0,0,0,0,17,BUSINESS,2
1779804780.688,17922,8,1,16,27,127720.0,243200.0,33.0,-11.1,0,101,2,0,0,2,34,CRITICAL,0
1779804780.688,17924,13,1,20,3,322152.0,1706784.0,10.0,-38.7,0,123,2,0,0,2,48,PERFORMANCE,1
1779804780.688,17926,5,1,15,27,4359032.0,418536.0,30.3,-18.0,0,654,0,0,0,0,17,BUSINESS,2
1779804781.689,17922,8,1,16,27,125648.0,243200.0,32.5,-11.1,0,100,1,0,0,2,31,CRITICAL,0
1779804781.689,17924,13,1,21,3,334240.0,1800920.0,10.0,-38.7,0,125,0,0,0,2,50,PERFORMANCE,1
1779804781.689,17926,5,1,15,27,7043648.0,402184.0,30.9,-17.9,0,998,0,0,0,0,18,BUSINESS,2
1779804782.689,17922,8,1,15,27,126720.0,243200.0,32.4,-11.1,0,102,3,0,0,2,31,CRITICAL,0
1779804782.689,17924,13,1,21,3,355864.0,1929000.0,9.9,-38.7,0,126,0,0,0,2,50,PERFORMANCE,1
1779804782.689,17926,5,1,15,27,6708272.0,408200.0,31.0,-17.9,0,931,0,0,0,0,18,BUSINESS,2
1779804783.689,17922,8,1,15,27,123472.0,243200.0,32.4,-11.1,0,100,1,0,0,2,31,CRITICAL,0
1779804783.689,17924,13,1,21,3,373528.0,2073264.0000000002,10.1,-38.5,0,131,0,0,0,2,50,PERFORMANCE,1
1779804783.689,17926,5,1,15,27,7068504.0,514856.0,30.7,-17.8,0,980,0,0,0,0,18,BUSINESS,2
1779804784.689,17922,9,1,15,27,127072.0,243200.0,32.1,-11.4,0,101,1,0,0,2,31,CRITICAL,0
