timestamp,rnti,cqi,ri,dl_mcs,ul_mcs,dl_brate_bps,ul_brate_bps,pusch_snr_db,pusch_rsrp_db,phr,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,slice_name,f1ap_id
1779809706.549,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809707.548,17922,13,1,26,26,181920.0,232704.0,25.7,-22.1,0,100,1,0,0,4,42,CRITICAL,0
1779809707.548,17924,13,1,27,27,567624.0,4227840.0,33.0,-12.9,0,198,0,0,0,4,42,PERFORMANCE,1
1779809707.548,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809708.549,17922,13,1,27,26,184480.0,230912.0,25.4,-22.4,0,100,0,0,0,4,42,CRITICAL,0
1779809708.549,17924,13,1,27,27,568104.0,4080512.0,33.1,-12.5,0,201,0,0,0,4,42,PERFORMANCE,1
1779809708.549,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809709.549,17922,13,1,26,26,183072.0,234112.0,25.9,-22.3,0,100,1,0,0,4,42,CRITICAL,0
1779809709.549,17924,13,1,27,27,546296.0,3974784.0,33.9,-12.4,0,188,0,0,0,4,42,PERFORMANCE,1
1779809709.549,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809710.549,17922,13,1,27,26,183456.0,231936.0,25.7,-22.3,0,100,0,0,0,4,42,CRITICAL,0
1779809710.549,17924,13,1,27,27,543944.0,3863424.0,33.8,-12.3,0,185,0,0,0,4,42,PERFORMANCE,1
1779809710.549,17926,5,1,0,27,0.0,4864.0,32.2,-14.7,0,0,0,0,0,0,14,BUSINESS,2
1779809711.55,17922,13,1,27,26,188264.0,231552.0,25.5,-22.6,0,101,0,0,0,4,42,CRITICAL,0
1779809711.55,17924,13,1,27,27,563440.0,4217088.0,34.0,-11.9,0,195,0,0,0,4,42,PERFORMANCE,1
1779809711.55,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809712.55,17922,13,1,27,26,186400.0,233472.0,25.8,-22.4,0,100,0,0,0,4,42,CRITICAL,0
1779809712.55,17924,13,1,27,27,529504.0,3763456.0,33.8,-12.3,0,180,0,0,0,4,42,PERFORMANCE,1
1779809712.55,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809713.551,17922,13,1,27,26,193856.0,238848.0,26.6,-21.6,0,104,0,0,0,4,42,CRITICAL,0
1779809713.551,17924,13,1,27,27,564144.0,4340224.0,33.4,-12.9,0,202,0,0,0,4,42,PERFORMANCE,1
1779809713.551,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809714.549,17922,13,1,27,26,189192.0,237568.0,26.3,-21.6,0,101,0,0,0,4,42,CRITICAL,0
1779809714.549,17924,13,1,27,27,560336.0,4056192.0,33.4,-12.4,0,192,1,0,0,4,42,PERFORMANCE,1
1779809714.549,17926,5,1,0,27,0.0,9728.0,32.8,-14.2,0,0,0,0,0,0,14,BUSINESS,2
1779809715.549,17922,13,1,27,26,188264.0,235904.0,26.1,-22.0,0,101,0,0,0,4,42,CRITICAL,0
1779809715.549,17924,13,1,27,27,537096.0,4094976.0,33.5,-12.4,0,183,0,0,0,4,42,PERFORMANCE,1
1779809715.549,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809716.549,17922,13,1,27,26,191992.0,231168.0,25.6,-22.2,0,103,0,0,0,4,42,CRITICAL,0
1779809716.549,17924,13,1,27,27,568752.0,4459392.0,32.9,-12.6,0,202,0,0,0,4,42,PERFORMANCE,1
1779809716.549,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809717.558,17922,13,1,27,26,249120.0,266112.0,25.9,-22.1,0,132,0,0,0,4,42,CRITICAL,0
1779809717.558,17924,13,1,27,27,546712.0,3891456.0,33.8,-12.3,0,187,0,0,0,4,42,PERFORMANCE,1
1779809717.558,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809718.549,17922,13,1,27,26,218680.0,269984.0,26.1,-22.1,0,115,0,0,0,4,42,CRITICAL,0
1779809718.549,17924,13,1,27,27,564952.0,4146560.0000000005,33.3,-12.7,0,199,0,0,0,4,42,PERFORMANCE,1
1779809718.549,17926,5,1,0,27,0.0,4864.0,32.5,-14.6,0,0,0,0,0,0,14,BUSINESS,2
1779809719.549,17922,13,1,27,26,191992.0,229760.0,25.4,-22.8,0,103,0,0,0,4,42,CRITICAL,0
1779809719.549,17924,13,1,27,27,557976.0,4242304.0,33.7,-12.3,0,192,0,0,0,4,42,PERFORMANCE,1
1779809719.549,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809720.557,17922,13,1,27,25,189192.0,228224.0,25.3,-23.0,0,101,0,0,0,4,42,CRITICAL,0
1779809720.557,17924,13,1,27,27,540712.0,3912832.0,33.8,-12.2,0,188,0,0,0,4,42,PERFORMANCE,1
1779809720.557,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809721.55,17922,13,1,27,26,190128.0,233984.0,25.7,-22.7,0,102,0,0,0,4,42,CRITICAL,0
1779809721.55,17924,13,1,27,27,570768.0,4236544.0,33.7,-12.4,0,197,0,0,0,4,42,PERFORMANCE,1
1779809721.55,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809722.55,17922,13,1,26,26,190136.0,232576.0,25.7,-22.6,0,103,1,0,0,4,42,CRITICAL,0
1779809722.55,17924,13,1,26,27,527128.0,3940096.0,33.8,-12.5,0,178,7,0,0,4,42,PERFORMANCE,1
1779809722.55,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809723.549,17922,13,1,27,26,191128.0,225664.0,25.4,-22.6,0,103,0,0,0,4,42,CRITICAL,0
1779809723.549,17924,13,1,26,27,548744.0,4154112.0,32.8,-13.0,0,191,1,0,0,4,42,PERFORMANCE,1
1779809723.549,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809724.553,17922,13,1,27,25,196688.0,231720.0,25.4,-22.8,0,103,0,0,0,4,42,CRITICAL,0
1779809724.553,17924,13,1,26,27,562000.0,4336384.0,33.8,-12.4,0,205,0,0,0,4,42,PERFORMANCE,1
1779809724.553,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809725.549,17922,13,1,27,26,188264.0,230656.0,25.4,-22.7,0,101,0,0,0,4,42,CRITICAL,0
1779809725.549,17924,13,1,26,27,568032.0,4140544.0,32.8,-12.9,0,196,0,0,0,4,42,PERFORMANCE,1
1779809725.549,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809726.549,17922,13,1,27,25,192920.0,229888.0,25.4,-22.8,0,103,0,0,0,4,42,CRITICAL,0
1779809726.549,17924,13,1,26,27,565696.0,4249984.0,32.9,-12.9,0,204,0,0,0,4,42,PERFORMANCE,1
1779809726.549,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809727.55,17922,13,1,27,25,193856.0,228096.0,25.3,-22.9,0,104,0,0,0,4,42,CRITICAL,0
1779809727.55,17924,13,1,27,27,565712.0,4141439.9999999995,33.7,-12.3,0,198,0,0,0,4,42,PERFORMANCE,1
1779809727.55,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809728.551,17922,13,1,27,25,188008.0,228224.0,25.2,-22.7,0,101,1,0,0,4,42,CRITICAL,0
1779809728.551,17924,13,1,26,27,557536.0,4025216.0,32.8,-13.0,0,196,1,0,0,4,42,PERFORMANCE,1
1779809728.551,17926,5,1,0,27,0.0,4864.0,31.4,-13.9,0,0,0,0,0,0,14,BUSINESS,2
1779809729.55,17922,13,1,26,25,185352.0,230272.0,25.3,-22.6,0,101,0,0,0,4,42,CRITICAL,0
1779809729.55,17924,13,1,27,27,554496.0,4054272.0,32.8,-12.9,0,192,0,0,0,4,42,PERFORMANCE,1
1779809729.55,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809730.55,17922,13,1,27,26,187880.0,237056.0,26.3,-21.8,0,101,0,0,0,4,42,CRITICAL,0
1779809730.55,17924,13,1,27,27,563368.0,4357504.0,33.5,-12.2,0,198,0,0,0,4,42,PERFORMANCE,1
1779809730.55,17926,5,1,0,27,0.0,4864.0,33.3,-10.0,0,0,0,0,0,0,14,BUSINESS,2
1779809731.55,17922,13,1,27,26,188264.0,233216.0,25.7,-22.2,0,101,0,0,0,4,42,CRITICAL,0
1779809731.55,17924,13,1,27,27,559160.0,3977728.0,33.5,-11.5,0,195,0,0,0,4,42,PERFORMANCE,1
1779809731.55,17926,5,1,0,27,0.0,4864.0,27.8,-17.4,0,0,0,0,0,0,14,BUSINESS,2
1779809732.549,17922,13,1,27,24,187328.0,221952.0,24.2,-23.7,0,100,0,0,0,4,42,CRITICAL,0
1779809732.549,17924,13,1,27,27,531008.0,3980544.0,33.5,-11.3,0,183,0,0,0,4,42,PERFORMANCE,1
1779809732.549,17926,5,1,14,0,928.0,0.0,0,-99.9,0,1,0,0,0,0,14,BUSINESS,2
1779809733.55,17922,13,1,27,25,188264.0,225408.0,24.7,-23.0,0,101,0,0,0,4,42,CRITICAL,0
1779809733.55,17924,13,1,27,27,556952.0,4052352.0,33.4,-11.5,0,192,0,0,0,4,42,PERFORMANCE,1
1779809733.55,17926,5,1,14,27,71432.0,163072.0,30.4,-17.1,0,32,1,0,0,0,14,BUSINESS,2
1779809734.55,17922,13,1,26,26,185216.0,238080.0,26.5,-21.2,0,100,2,0,0,4,42,CRITICAL,0
1779809734.55,17924,13,1,27,27,541880.0,3868160.0,33.6,-11.7,0,183,0,0,0,4,42,PERFORMANCE,1
1779809734.55,17926,5,1,15,19,370224.0,435760.0,22.1,-26.0,0,150,0,0,0,0,14,BUSINESS,2
1779809735.549,17922,13,1,26,27,183136.0,240640.0,26.9,-20.6,0,100,0,0,0,4,42,CRITICAL,0
1779809735.549,17924,13,1,26,27,547552.0,4089088.0,33.1,-12.6,0,192,3,0,0,4,42,PERFORMANCE,1
1779809735.549,17926,5,1,15,27,839424.0,922528.0,30.2,-15.9,0,320,0,0,0,0,14,BUSINESS,2
1779809736.549,17922,13,1,26,27,183744.0,241152.0,27.2,-20.0,0,100,0,0,0,4,42,CRITICAL,0
